address	name	namespace	reference_count	references
EXTERNAL:000000b5	XRENGINE.EXE::?Start@IGame_Persistent@@UAEXPBD@Z	XRENGINE.EXE	1	1057ce18
EXTERNAL:000000b6	XRENGINE.EXE::?get_rnd_effect_time@CEnvAmbient@@QAEIXZ	XRENGINE.EXE	1	1057ce1c
EXTERNAL:000000b7	XRENGINE.EXE::?get_rnd_effect@CEnvAmbient@@QAEPAUSEffect@1@XZ	XRENGINE.EXE	1	1057ce20
EXTERNAL:000000b8	XRENGINE.EXE::?rescan@CStringTable@@QAEXXZ	XRENGINE.EXE	1	1057ce24
EXTERNAL:000000b9	XRENGINE.EXE::?stop@CLoadScreenRenderer@@QAEXXZ	XRENGINE.EXE	1	1057ce28
EXTERNAL:000000ba	XRENGINE.EXE::?TimerAsync@CRenderDevice@@QAEIXZ	XRENGINE.EXE	1	1057ce2c
EXTERNAL:000000bb	XRENGINE.EXE::?Update@CSheduler@@QAEXXZ	XRENGINE.EXE	1	1057ce30
EXTERNAL:000000bc	XRENGINE.EXE::?Handler_Detach@CEventAPI@@QAEXAAPAVCEvent@@PAVIEventReceiver@@@Z	XRENGINE.EXE	1	1057ce34
EXTERNAL:000000bd	XRENGINE.EXE::?Handler_Attach@CEventAPI@@QAEPAVCEvent@@PBDPAVIEventReceiver@@@Z	XRENGINE.EXE	1	1057ce38
EXTERNAL:000000be	XRENGINE.EXE::?_dec@?$resptr_base@VIRender_Light@@@@IAEXXZ	XRENGINE.EXE	1	1057ce3c
EXTERNAL:000000bf	XRENGINE.EXE::??0Touch@Feel@@QAE@XZ	XRENGINE.EXE	1	1057ce40
EXTERNAL:000000c0	XRENGINE.EXE::?feel_touch_delete@Touch@Feel@@UAEXPAVCObject@@@Z	XRENGINE.EXE	1	1057ce44
EXTERNAL:000000c1	XRENGINE.EXE::?register_schedule@CObject@@UBE_NXZ	XRENGINE.EXE	1	1057ce48
