address	length	value
1001a56b	78	?SetGlobalConfigValueInt32@IPureClient@@QAEXW4ESteamNetworkingConfigValue@@I@Z
1001a5ba	83	?SetGlobalConfigValueInt32@IPureSteamClient@@QAEXW4ESteamNetworkingConfigValue@@I@Z
1001a60e	40	?SetLoadingStarted@IPureServer@@QAEX_N@Z
1001a637	85	?SetOnJoinRequestedXRayCallback@CSteamHelper@@QAEX$$QAV?$function@$$A6AXPBD@Z@std@@@Z
1001a68d	85	?SetOnPersonaChangedXRayCallback@CSteamHelper@@QAEX$$QAV?$function@$$A6AX_K@Z@std@@@Z
1001a6e3	37	?SetPlayedWith@CSteamHelper@@QAEX_K@Z
1001a709	37	?SetRetailMode@CSteamHelper@@QAEX_N@Z
1001a72f	42	?SetRichPresence@CSteamHelper@@QAE_NPBD0@Z
1001a75a	35	?ShutdownSteam@CSteamHelper@@QAEXXZ
1001a77e	38	?StartProcessQueue@IPureClient@@QAEXXZ
1001a7a5	110	?SteamNetConnectionStatusChangedCallback@IPureSteamClient@@CAXPAUSteamNetConnectionStatusChangedCallback_t@@@Z
1001a814	110	?SteamNetConnectionStatusChangedCallback@IPureSteamServer@@CAXPAUSteamNetConnectionStatusChangedCallback_t@@@Z
1001a883	71	?SteamNetworkingSockets@CSteamHelper@@QAEPAVISteamNetworkingSockets@@XZ
1001a8cb	67	?SteamNetworkingUtils@CSteamHelper@@QAEPAVISteamNetworkingUtils@@XZ
1001a90f	33	?Sync_Average@IPureClient@@IAEXXZ
1001a931	32	?Sync_Thread@IPureClient@@IAEXXZ
1001a952	38	?TestLoadBEClient@IPureClient@@UAE_NXZ
1001a979	64	?TryRemoveTemporaryAvatar@CSteamHelper@@AAE_N_KW4eAvatarSize@@@Z
1001a9ba	48	?UnBanAddress@IPureServer@@UAEXABUip_address@@@Z
1001aa05	57	?Update@IClientStatistic@@QAEXAAU_DPN_CONNECTION_INFO@@@Z
1001aa3f	32	?Update@IPureSteamServer@@QAEXXZ
1001aa60	37	?UpdateBannedList@IPureServer@@QAEXXZ
1001aa86	54	?UpdateClientStatistic@IPureServer@@QAEXPAVIClient@@@Z
1001aabd	36	?UpdateStatistic@IPureClient@@QAEXXZ
1001aae2	39	?UpdateStats@IPureSteamClient@@AAEX_N@Z
1001ab0a	45	?UpdateTemporaryAvatar@CSteamHelper@@AAEX_K@Z
1001ab38	56	?_FlushSendBuffer@MultipacketSender@@AAEXIPAUBuffer@1@@Z
